year,province,cohort_type,actual_intake,optimal_intake,aci_value,niv_per_unit,scenario
2021,ON,low_wage_worker,49630,0,0.3912,-180555.42,aci_equal
2021,ON,refugee,43805,2746,0.3912,-439889.84,aci_equal
2021,PE,family_class,110,0,,-133783.0,aci_equal
2021,PE,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,PE,high_quality_student,1240,0,,99711.36,aci_equal
2021,PE,high_wage_worker,1900,0,,412526.93,aci_equal
2021,PE,in_canada_transition,2390,0,,237641.37,aci_equal
2021,PE,low_quality_student,690,0,,-211205.93,aci_equal
2021,PE,low_wage_worker,1635,0,,-180555.42,aci_equal
2021,PE,refugee,50,2746,,-439889.84,aci_equal
2021,QC,family_class,13870,0,0.4315,-133783.0,aci_equal
2021,QC,francophone_pr,4008,154,0.4315,444285.46,aci_equal
2021,QC,high_quality_student,53625,0,0.4315,99711.36,aci_equal
2021,QC,high_wage_worker,80170,0,0.4315,412526.93,aci_equal
2021,QC,in_canada_transition,0,0,0.5,237641.37,aci_equal
2021,QC,low_quality_student,12900,0,0.4315,-211205.93,aci_equal
2021,QC,low_wage_worker,35220,0,0.4315,-180555.42,aci_equal
2021,QC,refugee,9540,2746,0.4315,-439889.84,aci_equal
2021,SK,family_class,1645,0,0.5191,-133783.0,aci_equal
2021,SK,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,SK,high_quality_student,4965,0,0.5191,99711.36,aci_equal
2021,SK,high_wage_worker,6255,0,0.5191,412526.93,aci_equal
2021,SK,in_canada_transition,8115,0,0.5191,237641.37,aci_equal
2021,SK,low_quality_student,1650,0,0.5191,-211205.93,aci_equal
2021,SK,low_wage_worker,1520,0,0.5191,-180555.42,aci_equal
2021,SK,refugee,1010,2746,0.5191,-439889.84,aci_equal
2021,YT,family_class,40,0,,-133783.0,aci_equal
2021,YT,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,YT,high_quality_student,110,0,,99711.36,aci_equal
2021,YT,high_wage_worker,480,0,,412526.93,aci_equal
2021,YT,in_canada_transition,485,0,,237641.37,aci_equal
2021,YT,low_quality_student,75,0,,-211205.93,aci_equal
2021,YT,low_wage_worker,125,0,,-180555.42,aci_equal
2021,YT,refugee,5,2746,,-439889.84,aci_equal
2022,AB,family_class,14110,97095,0.4112,-133783.0,aci_equal
2022,AB,francophone_pr,0,2792,0.5,444285.46,aci_equal
2022,AB,high_quality_student,20475,437715,0.4112,99711.36,aci_equal
2022,AB,high_wage_worker,29615,435510,0.4112,412526.93,aci_equal
2022,AB,in_canada_transition,16835,162085,0.4112,237641.37,aci_equal
2022,AB,low_quality_student,8970,126355,0.4112,-211205.93,aci_equal
2022,AB,low_wage_worker,28655,242145,0.4112,-180555.42,aci_equal
2022,AB,refugee,13435,45390,0.4112,-439889.84,aci_equal
2022,BC,family_class,16480,0,0.4504,-133783.0,aci_equal
2022,BC,francophone_pr,0,199,0.5,444285.46,aci_equal
